Target,Model,Accuracy,Precision,Recall,F1,ROC AUC
W. FLY (%),decision_tree,0.878,0.8945054945054945,0.8461538461538461,0.8696581196581197,0.9461302120261658
W. FLY (%),random_forest,0.891,0.8795918367346939,0.896049896049896,0.8877445932028837,0.9674329732133201
W. FLY (%),adaboost,0.892,0.8829568788501027,0.893970893970894,0.8884297520661157,0.962077239533887
W. FLY (%),svm,0.888,0.8788501026694046,0.8898128898128899,0.8842975206611571,0.9641442242598313
W. FLY (%),knn,0.881,0.8818565400843882,0.8690228690228691,0.875392670157068,0.9614383169296464
W. FLY (%),xgboost,0.899,0.8958333333333334,0.893970893970894,0.894901144640999,0.971695127764492
W. FLY (%),bagging,0.893,0.8847736625514403,0.893970893970894,0.889348500517063,0.9692175501424056
W. FLY (%),voting,0.89,0.8778004073319755,0.896049896049896,0.8868312757201646,0.9694599000957382
W. FLY (%),stacking,0.886,0.8846960167714885,0.8773388773388774,0.8810020876826722,0.9646149039212624
JASSID (%),decision_tree,0.848,0.8422174840085288,0.8350951374207188,0.8386411889596603,0.9227086183310533
JASSID (%),random_forest,0.861,0.8523206751054853,0.854122621564482,0.853220696937698,0.937473673231142
JASSID (%),adaboost,0.848,0.8255578093306288,0.8604651162790697,0.8426501035196687,0.9276871356876653
JASSID (%),svm,0.85,0.8473118279569892,0.8329809725158562,0.8400852878464818,0.9363363568164769
JASSID (%),knn,0.851,0.8432203389830508,0.8414376321353065,0.8423280423280424,0.9284413349326637
JASSID (%),xgboost,0.875,0.8733905579399142,0.8604651162790697,0.8668796592119276,0.9483373517176085
JASSID (%),bagging,0.859,0.8547008547008547,0.8456659619450317,0.8501594048884166,0.9412486811542458
JASSID (%),voting,0.864,0.8532494758909853,0.8604651162790697,0.8568421052631578,0.941509441531506
JASSID (%),stacking,0.867,0.8663793103448276,0.8498942917547568,0.8580576307363927,0.940434306437572
THRIPS (%),decision_tree,0.854,0.7101449275362319,0.4803921568627451,0.5730994152046783,0.876049980293625
THRIPS (%),random_forest,0.868,0.7465753424657534,0.5343137254901961,0.6228571428571429,0.9060868065819292
THRIPS (%),adaboost,0.847,0.6545454545454545,0.5294117647058824,0.5853658536585366,0.8901831461227707
THRIPS (%),svm,0.873,0.7483870967741936,0.5686274509803921,0.6462395543175488,0.9016097645088187
THRIPS (%),knn,0.851,0.7272727272727273,0.43137254901960786,0.5415384615384615,0.8781807320918318
THRIPS (%),xgboost,0.873,0.7516339869281046,0.5637254901960784,0.6442577030812325,0.9123374224061483
THRIPS (%),bagging,0.868,0.7432432432432432,0.5392156862745098,0.625,0.9024318898413637
THRIPS (%),voting,0.867,0.75177304964539,0.5196078431372549,0.6144927536231884,0.9030200019706375
THRIPS (%),stacking,0.856,0.6948051948051948,0.5245098039215687,0.5977653631284916,0.8871810030544882
M.BUG (%),decision_tree,0.873,0.8031746031746032,0.7955974842767296,0.7993680884676145,0.936795680481012
M.BUG (%),random_forest,0.898,0.8292682926829268,0.8553459119496856,0.8421052631578947,0.9573673435511536
M.BUG (%),adaboost,0.894,0.8271604938271605,0.8427672955974843,0.8348909657320872,0.9535264390711742
M.BUG (%),svm,0.893,0.8226299694189603,0.8459119496855346,0.834108527131783,0.9558595695235987
M.BUG (%),knn,0.877,0.8095238095238095,0.8018867924528302,0.8056872037914692,0.9454918939855032
M.BUG (%),xgboost,0.902,0.8395061728395061,0.8553459119496856,0.8473520249221184,0.9590687766281192
M.BUG (%),bagging,0.899,0.8422712933753943,0.839622641509434,0.8409448818897638,0.9578491857098065
M.BUG (%),voting,0.897,0.8287461773700305,0.8522012578616353,0.8403100775193798,0.9581327578893009
M.BUG (%),stacking,0.894,0.8271604938271605,0.8427672955974843,0.8348909657320872,0.9558987624264558
MITES (%),decision_tree,0.996,0.0,0.0,0.0,0.6596385542168675
MITES (%),random_forest,0.996,0.0,0.0,0.0,0.6937751004016064
MITES (%),adaboost,0.996,0.0,0.0,0.0,0.7507530120481928
MITES (%),svm,0.996,0.0,0.0,0.0,0.5933734939759037
MITES (%),knn,0.996,0.0,0.0,0.0,0.6017821285140562
MITES (%),xgboost,0.996,0.0,0.0,0.0,0.632781124497992
MITES (%),bagging,0.996,0.0,0.0,0.0,0.6694277108433735
MITES (%),voting,0.996,0.0,0.0,0.0,0.5896084337349398
MITES (%),stacking,0.996,0.0,0.0,0.0,0.8241716867469879
APHIDS (%),decision_tree,0.996,0.0,0.0,0.0,0.9347389558232932
APHIDS (%),random_forest,0.996,0.0,0.0,0.0,0.9211847389558232
APHIDS (%),adaboost,0.996,0.0,0.0,0.0,0.8967118473895581
APHIDS (%),svm,0.996,0.0,0.0,0.0,0.870983935742972
APHIDS (%),knn,0.996,0.0,0.0,0.0,0.731425702811245
APHIDS (%),xgboost,0.996,0.0,0.0,0.0,0.9269578313253012
APHIDS (%),bagging,0.996,0.0,0.0,0.0,0.9553212851405622
APHIDS (%),voting,0.996,0.0,0.0,0.0,0.9191767068273092
APHIDS (%),stacking,0.996,0.0,0.0,0.0,0.7089608433734941
DUSKY COTTON BUG (%),decision_tree,0.911,0.5376344086021505,0.5208333333333334,0.5291005291005291,0.8705636983775811
DUSKY COTTON BUG (%),random_forest,0.929,0.8205128205128205,0.3333333333333333,0.4740740740740741,0.9408416297935104
DUSKY COTTON BUG (%),adaboost,0.928,0.7068965517241379,0.4270833333333333,0.5324675324675324,0.9233268805309733
DUSKY COTTON BUG (%),svm,0.937,0.7142857142857143,0.5729166666666666,0.6358381502890174,0.946660674778761
DUSKY COTTON BUG (%),knn,0.91,0.5652173913043478,0.2708333333333333,0.36619718309859156,0.883578770280236
